"X","Y","Z"
1481.53,1294.87,97.32
1481.52,1294.88,97.31
1481.53,1294.87,97.32
1481.54,1294.77,97.30
1481.50,1294.80,97.31
1481.56,1294.95,97.30
1481.55,1294.82,97.31
1481.52,1294.81,97.32
1481.52,1294.83,97.31
1481.50,1294.82,97.30
1481.50,1294.81,97.31
1481.50,1294.84,97.31
1481.53,1294.82,97.31
1481.56,1294.82,97.31
1481.52,1294.80,97.30
1481.54,1294.80,97.31
1481.54,1294.81,97.31
1481.53,1294.80,97.31
1481.55,1294.75,97.31
1481.54,1294.76,97.30
1481.48,1294.78,97.30
1481.50,1294.79,97.30
1481.50,1294.81,97.31
1481.19,1294.67,97.26
1481.46,1294.68,97.25
1481.43,1294.65,97.24
1481.50,1294.68,97.25
1481.52,1294.67,97.26
1481.61,1294.73,97.28
1481.57,1294.80,97.28
1481.59,1294.80,97.27
1481.56,1294.81,97.31
1481.55,1294.79,97.26
1481.59,1294.80,97.26
1481.57,1294.85,97.26
1481.59,1294.86,97.25
1481.61,1294.90,97.29
1481.59,1294.88,97.29
1481.52,1294.88,97.30
1481.54,1294.88,97.29
1481.52,1294.96,97.30
1481.52,1294.94,97.30
1481.46,1294.90,97.30
1481.45,1294.90,97.28
1481.48,1294.89,97.28
1481.41,1294.90,97.30
1481.42,1294.89,97.29
1481.41,1294.90,97.29
1481.40,1294.90,97.28
1481.40,1294.88,97.30
1481.40,1294.87,97.29
1481.38,1294.87,97.28
1481.40,1294.84,97.29
1481.42,1294.87,97.27
1481.44,1294.87,97.29
1481.43,1294.87,97.28
1481.43,1294.85,97.28
1481.40,1294.85,97.29
1481.41,1294.89,97.28
1481.39,1294.89,97.29
1481.38,1294.87,97.28
1481.37,1294.84,97.28
1481.38,1294.86,97.28
1481.36,1294.84,97.27
1481.38,1294.83,97.28
1481.40,1294.83,97.29
1481.40,1294.79,97.25
1481.41,1294.83,97.30
1481.36,1294.82,97.27
1481.37,1294.82,97.27
1481.37,1294.85,97.28
1481.44,1294.81,97.26
1481.46,1294.80,97.29
1481.49,1294.80,97.29
1481.48,1294.81,97.29
