"X","Y","Z"
1475.40,1296.77,97.80
1475.91,1296.60,97.72
1475.92,1296.58,97.71
1475.67,1296.86,97.73
1475.63,1296.80,97.74
1475.26,1296.87,97.77
1475.26,1296.83,97.74
1476.11,1297.03,97.84
1476.05,1296.34,97.74
1476.17,1296.31,97.76
1476.46,1297.45,98.36
1476.51,1297.45,98.35
1476.84,1297.48,98.47
1476.90,1297.36,98.43
1476.55,1297.38,98.04
1476.61,1297.36,98.01
1476.74,1297.42,97.77
1476.70,1297.45,97.80
1477.00,1297.30,97.75
1476.90,1297.50,97.75
1476.26,1297.36,98.17
1476.04,1297.19,98.12
1476.08,1297.23,98.10
1476.12,1297.30,98.02
1476.31,1297.39,97.79
1476.30,1297.38,97.84
1476.36,1297.46,97.79
1476.31,1297.43,97.80
1476.21,1297.43,97.78
1476.13,1297.36,97.85
1477.05,1297.78,98.23
1477.05,1297.78,98.21
1477.06,1297.91,98.15
1477.09,1297.95,98.15
1477.03,1297.61,98.09
1477.02,1297.62,98.10
1477.61,1297.96,97.98
1477.63,1297.96,97.97
1477.29,1297.46,97.98
1477.62,1297.46,97.85
1477.15,1297.92,97.87
1477.15,1297.94,97.88
1477.93,1297.84,97.82
1477.91,1297.80,97.82
1477.53,1297.53,97.78
1477.64,1297.82,97.76
1477.64,1297.81,97.76
1477.72,1297.87,97.75
1477.77,1297.90,97.76
1477.58,1297.58,97.73
1477.58,1297.55,97.73
1477.64,1297.88,97.75
1477.65,1297.90,97.75
1477.64,1297.84,97.73
1477.61,1297.90,97.73
1477.59,1297.95,97.70
1477.58,1297.93,97.71
1477.07,1297.77,97.76
1477.02,1297.75,97.73
1477.49,1297.51,97.71
1477.47,1297.51,97.71
1477.07,1297.74,97.41
1477.07,1297.71,97.42
1478.63,1297.82,98.00
1478.63,1297.85,97.99
1478.17,1298.06,97.83
1478.21,1297.99,97.80
1478.54,1297.88,97.89
1478.54,1297.88,97.88
1478.18,1297.76,97.76
1478.25,1297.75,97.79
1478.14,1297.96,97.79
1478.13,1297.94,97.79
1478.19,1297.92,97.73
1478.18,1297.93,97.72
1478.09,1297.92,97.74
1478.08,1297.91,97.73
1478.02,1297.79,97.74
1478.06,1297.78,97.72
1478.84,1297.73,97.78
1478.89,1297.72,97.75
1478.03,1297.38,97.69
1478.14,1297.49,97.67
1478.37,1297.82,97.27
1478.26,1297.19,97.27
1478.25,1297.22,97.26
1479.59,1298.69,98.74
1479.60,1298.33,98.72
1479.34,1298.76,98.71
1479.37,1298.80,98.71
1479.79,1298.54,98.68
1479.88,1298.27,98.64
1479.47,1297.67,97.91
1479.52,1297.64,97.90
1479.21,1297.83,97.85
1479.27,1297.90,97.85
1479.10,1297.40,97.73
1479.90,1297.76,97.71
1479.96,1297.74,97.72
1479.64,1297.84,97.69
1479.75,1297.47,97.71
1479.74,1297.46,97.71
1479.42,1297.69,97.65
1479.44,1297.68,97.62
1479.43,1297.79,97.61
1479.41,1297.73,97.60
1479.14,1297.46,97.60
1479.37,1297.70,97.68
1479.57,1297.70,97.68
1478.88,1297.44,97.67
1479.02,1297.55,97.65
1479.07,1297.93,97.66
1479.03,1297.93,97.69
1479.85,1297.53,97.59
1479.72,1297.44,97.60
1479.89,1297.82,97.61
1479.87,1297.87,97.59
1479.75,1297.57,97.60
1479.87,1297.52,97.57
1479.77,1297.65,97.52
1479.77,1297.64,97.53
1481.82,1294.89,98.72
1481.82,1294.88,98.72
1481.51,1294.64,98.73
1481.54,1294.65,98.73
1481.91,1294.69,98.49
1481.94,1294.69,98.49
1481.44,1294.92,98.45
1481.46,1294.93,98.44
1481.47,1294.94,98.44
1481.45,1294.94,98.45
1481.48,1294.96,98.44
1481.46,1294.96,98.44
1481.48,1294.97,98.44
1481.47,1294.96,98.44
1481.49,1294.97,98.44
1481.46,1294.96,98.44
1481.47,1294.93,98.44
1481.48,1294.94,98.45
1481.44,1294.93,98.44
1481.45,1294.93,98.44
1481.83,1294.90,98.42
1481.81,1294.90,98.42
1481.88,1294.61,98.14
1481.84,1294.57,98.14
1481.47,1294.96,98.11
1481.32,1294.86,97.62
1481.31,1294.91,97.62
1481.30,1294.94,97.62
1481.68,1294.85,97.49
1481.66,1294.87,97.50
1481.77,1294.77,97.46
1481.78,1294.73,97.47
1481.51,1294.92,97.36
1481.48,1294.91,97.38
1481.69,1294.75,97.36
1481.70,1294.72,97.37
1481.33,1294.80,97.34
1481.36,1294.75,97.34
1481.96,1294.71,97.29
1481.89,1294.95,97.26
1481.98,1294.95,97.30
1481.76,1294.97,97.55
1481.80,1295.06,97.63
1482.04,1294.97,98.42
1482.08,1295.00,98.41
1482.62,1294.70,98.36
1482.63,1294.71,98.36
1482.82,1295.03,98.38
1482.80,1294.97,98.37
1482.71,1294.66,98.32
1482.71,1294.70,98.31
1482.87,1294.85,98.36
1482.86,1294.84,98.36
1482.84,1294.87,98.36
1482.85,1294.89,98.36
1482.88,1294.81,98.36
1482.85,1294.77,98.35
1482.76,1294.71,98.37
1482.78,1294.75,98.35
1482.65,1294.68,98.36
1482.67,1294.67,98.35
1482.96,1294.83,98.36
1482.94,1294.84,98.36
1482.42,1294.54,98.37
1482.38,1294.58,98.37
1482.86,1294.68,98.34
1482.87,1294.66,98.34
1482.84,1294.66,98.35
1482.85,1294.65,98.35
1482.24,1294.55,98.03
1482.61,1294.69,97.51
1482.13,1294.89,97.43
1482.11,1294.90,97.41
1482.10,1295.07,97.41
1482.14,1294.99,97.39
1482.10,1294.92,97.39
1482.02,1294.97,97.37
1482.12,1294.73,97.36
1482.35,1294.66,97.34
1482.23,1294.62,97.31
1482.27,1294.79,97.28
1482.33,1294.96,97.31
1482.37,1294.83,97.27
1482.36,1294.83,97.27
1482.41,1294.82,97.28
1482.38,1294.83,97.27
1482.45,1294.83,97.01
1482.99,1294.60,97.45
1483.02,1294.61,97.47
1482.91,1294.88,97.44
1482.91,1294.86,97.45
1482.87,1294.84,97.43
1482.88,1294.83,97.44
1482.71,1294.65,97.43
1482.66,1294.73,97.44
1482.66,1294.73,97.45
1482.80,1294.69,97.43
1482.62,1294.68,97.44
1482.74,1294.91,97.41
1482.75,1294.90,97.41
1482.56,1294.63,97.37
1482.57,1294.63,97.37
1482.64,1294.86,97.38
1482.65,1294.93,97.41
1482.61,1294.80,97.35
1482.96,1294.91,97.34
1482.94,1294.91,97.34
1482.94,1294.96,97.34
1482.79,1294.85,97.32
1482.94,1294.73,97.32
1482.66,1294.89,97.33
1482.54,1294.97,97.34
1482.71,1294.78,97.32
1482.94,1294.72,97.32
1482.93,1294.74,97.31
1482.94,1294.75,97.32
1482.84,1294.75,97.32
1482.80,1294.74,97.33
1482.96,1294.90,97.31
1482.86,1294.66,97.30
1482.81,1294.69,97.32
1482.77,1294.64,97.30
1482.69,1294.85,97.34
1482.73,1294.84,97.35
1482.76,1294.64,97.29
1482.76,1294.66,97.31
1482.87,1294.90,97.30
1482.98,1294.94,97.34
1482.95,1294.94,97.33
1482.57,1294.93,97.35
1482.64,1294.86,97.32
1482.61,1294.89,97.33
1482.80,1294.67,97.31
1482.80,1294.64,97.30
1482.74,1294.63,97.30
1482.74,1294.61,97.30
1482.80,1294.89,97.29
1482.78,1294.76,97.29
1482.76,1294.73,97.28
1482.91,1294.69,97.30
1482.89,1294.65,97.29
1482.80,1294.74,97.25
1482.82,1294.74,97.26
1482.74,1294.75,97.26
1482.74,1294.73,97.27
1482.70,1294.82,97.26
1482.93,1294.76,97.25
1482.92,1294.75,97.25
1482.69,1294.76,97.26
1482.74,1294.80,97.26
1482.79,1295.03,97.28
1482.81,1294.97,97.27
1483.87,1294.77,98.86
1483.03,1294.88,98.34
1483.09,1294.71,98.34
1483.07,1294.72,98.34
1483.50,1294.62,98.33
1483.25,1294.82,98.33
1483.26,1294.83,98.33
1483.50,1294.61,98.30
1483.50,1294.60,98.29
1483.28,1294.85,98.33
1483.26,1294.85,98.33
1483.25,1294.86,98.33
1483.23,1294.86,98.33
1483.22,1294.91,98.33
1483.24,1294.90,98.33
1483.28,1294.93,98.32
1483.31,1294.91,98.33
1483.55,1294.89,98.29
1483.56,1294.88,98.29
1483.47,1294.86,98.31
1483.49,1294.87,98.31
1483.55,1294.88,98.29
1483.54,1294.86,98.30
1483.56,1294.92,98.30
1483.60,1294.92,98.32
1483.89,1294.95,98.29
1483.91,1294.99,98.29
1483.93,1295.01,98.30
1483.79,1294.89,98.27
1483.79,1294.92,98.26
1483.74,1294.74,98.28
1483.72,1294.76,98.27
1483.72,1294.57,98.27
1483.73,1294.56,98.27
1483.68,1294.52,98.28
1483.67,1294.52,98.27
1483.51,1294.83,98.13
1483.52,1294.84,98.14
1483.48,1294.55,98.13
1483.54,1294.58,98.10
1483.37,1294.81,97.98
1483.14,1294.57,97.98
1483.41,1294.68,97.89
1483.44,1294.71,97.89
1483.51,1294.97,97.67
1483.23,1294.85,97.60
1483.20,1294.84,97.60
1483.02,1294.63,97.47
1483.06,1294.65,97.51
1483.57,1294.72,97.47
1483.65,1294.76,97.46
1483.61,1294.76,97.47
1483.62,1294.82,97.48
1483.61,1294.83,97.51
1483.55,1294.78,97.47
1483.58,1294.80,97.50
1483.79,1294.86,97.47
1483.82,1294.85,97.47
1483.04,1294.62,97.50
1483.02,1294.62,97.48
1483.05,1294.61,97.48
1483.03,1294.59,97.47
1483.02,1294.60,97.47
1483.04,1294.62,97.48
1483.44,1294.99,97.35
1483.42,1294.97,97.35
1483.06,1294.84,97.34
